genres,artists,acousticness,danceability,duration_ms,energy,liveness,speechiness,valence,popularity
"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']",'Til Tuesday,11,56,255.2135,61,13,3,53,3463
"['k-pop', 'k-pop girl group']",(G)I-DLE,1,64,196.969,80,25,5,38,7925
"['boy band', 'dance pop', 'europop', 'pop']",*NSYNC,19,61,236.77515,69,20,6,56,4537
"['alternative rock', 'dance rock', 'folk', 'lilith', 'mellow gold', 'new wave pop', 'pop rock']","10,000 Maniacs",19,58,236.01262,54,23,4,57,3700
"['glitchcore', 'hyperpop']",100 gecs,16,62,126.60525,60,37,21,78,6800
"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']",10cc,23,56,298.79658,57,15,7,56,4158
"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",112,14,68,270.51392,53,13,11,55,5017
"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']",1910 Fruitgum Company,42,76,140.75,61,12,4,90,2425
['japanese city pop'],1986 Omega Tribe,32,68,274.628,61,17,3,83,3822
"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']",2 Brothers On The 4th Floor,4,70,257.6175,95,52,5,69,5950
"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2 Chainz,14,75,235.68152,65,22,22,50,5702
"['dirty south rap', 'pop rap', 'southern hip hop', 'trap']",2 Pistols,0,53,274.053,75,35,11,27,5100
"['bubblegum dance', 'eurodance', 'europop', 'hip house']",2 Unlimited,3,70,228.208,92,8,6,77,5575
"['afro dancehall', 'afropop', 'azontobeats', 'highlife', 'nigerian hip hop', 'nigerian pop']",2Baba,2,59,283,60,28,39,36,0
"['bow pop', 'cello', 'classify']",2CELLOS,60,59,253.0465,50,15,4,60,5900
"['dance pop', 'k-pop', 'k-pop girl group', 'pop dance']",2NE1,9,69,217.67933,73,9,4,59,5867
"['k-pop', 'k-pop boy group', 'korean pop']",2PM,18,62,200.827,90,20,3,78,4800
"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",3 Doors Down,4,51,232.94561,79,16,4,45,5002
"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'modern rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock']",311,2,62,209.53987,82,17,7,62,4045
"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",3LAU,18,50,210.469,79,34,8,29,5200
"['girl group', 'hip pop', 'r&b', 'urban contemporary']",3LW,6,72,272.0558,72,15,11,67,4940
"['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop']",3OH!3,2,68,193.60085,79,32,18,55,5395
"['new wave pop', 'pop rock']",4 Non Blondes,18,53,239.67333,57,13,4,45,4833
"['k-pop', 'k-pop girl group']",4Minute,1,54,192.4,93,42,28,62,6100
"['boy band', 'dance pop', 'pop', 'post-teen pop']",5 Seconds of Summer,4,55,195.59308,80,18,10,52,6102
"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",50 Cent,12,70,234.96409,76,20,26,59,5234
"['dirty south rap', 'pop rap', 'southern hip hop']",504 Boyz,2,81,212.434,62,24,26,53,4750
"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",6LACK,27,64,220.21789,52,12,16,31,6387
"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",702,20,74,255.97022,61,16,7,59,5211
"['asian american hip hop', 'pop']",88rising,53,59,209.44467,46,22,9,39,6983
"['boy band', 'dance pop']",98º,35,61,250.5826,58,11,4,43,4900
