genres,artists,acousticness,danceability,duration_ms,energy,liveness,speechiness,valence,popularity
"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']",'Til Tuesday,1100,5600,0.25521350000000004,6100,1300,300,5300,346300
"['k-pop', 'k-pop girl group']",(G)I-DLE,100,6400,0.196969,8000,2500,500,3800,792500
"['boy band', 'dance pop', 'europop', 'pop']",*NSYNC,1900,6100,0.23677515,6900,2000,600,5600,453700
"['alternative rock', 'dance rock', 'folk', 'lilith', 'mellow gold', 'new wave pop', 'pop rock']","10,000 Maniacs",1900,5800,0.23601262,5400,2300,400,5700,370000
"['glitchcore', 'hyperpop']",100 gecs,1600,6200,0.12660525,6000,3700,2100,7800,680000
"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']",10cc,2300,5600,0.29879658,5700,1500,700,5600,415800
"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",112,1400,6800,0.27051391999999996,5300,1300,1100,5500,501700
"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']",1910 Fruitgum Company,4200,7600,0.14075,6100,1200,400,9000,242500
['japanese city pop'],1986 Omega Tribe,3200,6800,0.274628,6100,1700,300,8300,382200
"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']",2 Brothers On The 4th Floor,400,7000,0.2576175,9500,5200,500,6900,595000
"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2 Chainz,1400,7500,0.23568152,6500,2200,2200,5000,570200
"['dirty south rap', 'pop rap', 'southern hip hop', 'trap']",2 Pistols,0,5300,0.274053,7500,3500,1100,2700,510000
"['bubblegum dance', 'eurodance', 'europop', 'hip house']",2 Unlimited,300,7000,0.228208,9200,800,600,7700,557500
"['afro dancehall', 'afropop', 'azontobeats', 'highlife', 'nigerian hip hop', 'nigerian pop']",2Baba,200,5900,0.283,6000,2800,3900,3600,0
"['bow pop', 'cello', 'classify']",2CELLOS,6000,5900,0.2530465,5000,1500,400,6000,590000
"['dance pop', 'k-pop', 'k-pop girl group', 'pop dance']",2NE1,900,6900,0.21767933,7300,900,400,5900,586700
"['k-pop', 'k-pop boy group', 'korean pop']",2PM,1800,6200,0.200827,9000,2000,300,7800,480000
"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",3 Doors Down,400,5100,0.23294561,7900,1600,400,4500,500200
"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'modern rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock']",311,200,6200,0.20953987000000002,8200,1700,700,6200,404500
"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",3LAU,1800,5000,0.210469,7900,3400,800,2900,520000
"['girl group', 'hip pop', 'r&b', 'urban contemporary']",3LW,600,7200,0.27205579999999996,7200,1500,1100,6700,494000
"['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop']",3OH!3,200,6800,0.19360085000000002,7900,3200,1800,5500,539500
"['new wave pop', 'pop rock']",4 Non Blondes,1800,5300,0.23967333,5700,1300,400,4500,483300
"['k-pop', 'k-pop girl group']",4Minute,100,5400,0.19240000000000002,9300,4200,2800,6200,610000
