genres,acousticness,danceability,duration_ms,energy,liveness,speechiness,valence,popularity
acoustic pop,49.0235026,53.510831700000004,235.3797836,47.6439922,15.775049899999999,4.1770665,37.9415353,5311.550475
afghan pop,41.0628571,65.1714286,326.5039286,65.1571429,8.7460714,8.4414286,78.4107143,3932.1428570000003
afropop,43.6659746,62.580321299999994,309.9689753,53.452464,15.9884035,7.7084721,64.8471126,4138.034148
albanian pop,0.28700000000000003,68.30000000000001,187.106,66.5,8.39,4.99,66.7,4200.0
alternative pop,11.006783200000001,45.5066258,221.23053099999998,75.9271015,17.2594815,5.0904131,54.755773600000005,3763.709806
alternative pop rock,17.0467446,61.9229437,200.1459481,72.0244156,18.758303,6.8705931,64.3760173,5408.095238
ambient pop,74.4708333,27.641666700000002,228.7964667,21.773,12.652333299999999,3.6085,16.8668333,4458.3333330000005
antiviral pop,17.7661363,66.0696595,206.00262890000002,72.2974734,21.847259,10.773111100000001,61.2280178,5432.21362
arab pop,47.8771088,57.8910374,286.9140157,54.113818,17.0225425,5.3887577,60.274736399999995,3518.877551
argentine telepop,19.400000000000002,62.2,201.773,69.69999999999999,30.5,2.88,84.3,5900.0
art pop,33.830742400000005,53.909124399999996,253.5570744,53.8730452,16.987846100000002,5.418891,41.8311367,5009.39632
australian alternative pop,68.3729043,48.4417391,250.4631652,39.5973913,14.336695699999998,4.4387826,13.350260899999999,6304.347826
australian electropop,17.5574947,57.418151900000005,263.49608020000005,66.1549312,17.7977233,4.8345304,41.250682100000006,5058.788515
australian pop,23.2096394,59.0632402,241.329884,64.9048972,16.6159345,5.9337497,48.8809386,5752.646006
austrian pop,29.8333333,48.616666699999996,237.0531667,50.1833333,17.4366667,6.1608333,19.625,4975.0
austropop,21.876,74.96000000000001,262.3678,71.14,12.028,6.619999999999999,84.38,5540.0
bahamian pop,6.4033333,81.57777779999999,199.84455559999998,87.5888889,16.84,8.5377778,84.3333333,5022.222222
barbadian pop,17.048723,72.42426520000001,238.7462925,71.6150896,12.282638,7.4711685,73.99884589999999,5490.9319000000005
baroque pop,36.0176606,50.987338699999995,227.5691448,57.3225039,18.594192,4.347512500000001,51.761499099999995,4310.1532050000005
bedroom pop,42.238255800000005,61.5865376,197.8140949,48.3911121,16.5984828,5.5689892,48.975724,6502.013746999999
belarusian pop,2.85,33.0,292.027,91.3,34.599999999999994,4.5,29.4,5700.0
belgian pop,6.8921333,67.44666670000001,211.26535560000002,81.3266667,15.908444399999999,10.5708889,51.92,5460.0
beninese pop,5.76,66.3,305.733,84.89999999999999,35.8,3.58,96.6,4100.0
bitpop,7.3263059,45.255882400000004,293.8876176,84.6088235,17.5011765,6.0176471000000005,33.317647099999995,5073.529412
bow pop,53.844745800000005,44.3991428,243.772913,43.1574539,18.1153424,5.5812761,37.685684,4346.647198000001
boy pop,7.720000000000001,58.8,206.1935,81.2,17.4,5.62,58.050000000000004,5150.0
brill building pop,54.7929154,52.8441099,169.48096660000002,50.001919900000004,21.3327362,4.7820156,65.3900124,3298.51256
britpop,11.6831425,47.9605026,239.6840209,70.6577632,20.5224369,4.9245408,52.792688,4810.575796
bubblegum pop,39.9640497,55.302676399999996,174.6885664,56.4581035,19.2819206,5.0578414,69.03441049999999,3546.185552
c-pop,59.5649059,53.9153612,249.52269,40.3498681,19.554370900000002,3.4916118000000003,38.5258997,4305.656876
cameroonian pop,7.19,54.2,223.154,81.2,5.87,18.5,89.9,0.0
canadian electropop,19.4043574,63.5724471,212.6401415,63.1437169,14.587876999999999,5.8642751,38.9603836,5670.37037
canadian pop,29.7364324,57.6829639,233.1740513,60.8836196,17.4002716,7.055159399999999,47.110521999999996,5317.232408999999
canadian pop punk,13.3472549,47.6878136,203.6219516,79.0883871,15.790100400000002,6.5364803,52.8087455,5233.11828
candy pop,12.205534499999999,55.422555100000004,215.2709281,75.5793723,20.8072974,6.1909969,51.3285647,4959.883442
canto popular uruguayo,75.25,59.9,266.867,27.85,10.95,3.4750000000000005,38.75,4300.0
cantopop,60.8866543,56.4870118,236.1785517,42.9858288,16.1936584,3.2771641,37.4069337,4640.513945
chamber pop,48.3492422,50.8265748,250.3081172,47.914864200000004,14.815709499999999,4.0783283,40.812799,5099.522841999999
channel pop,63.743619100000004,55.4035124,214.8450771,42.5722796,15.097135,4.3559676,38.4626722,4850.378788
chicago pop punk,28.63875,39.900000000000006,243.6585,64.825,13.62,3.8600000000000003,34.949999999999996,5450.0
chill pop,62.481812500000004,74.29375,195.6203125,43.85625,13.4025,11.451875000000001,82.22500000000001,2912.5
chinese electropop,0.257,66.0,217.088,78.7,32.300000000000004,3.2,19.900000000000002,7850.0
chinese idol pop,14.2,75.1,232.15,71.89999999999999,14.799999999999999,3.73,43.7,7300.0
christian pop,17.5486163,54.1053703,250.6208959,66.88249429999999,17.7548332,4.7113934,41.989915599999996,5319.467796
classic arab pop,75.75060500000001,45.679581,418.2904274,35.6818334,28.5197001,5.0544553,50.5190879,1953.3003
classic belgian pop,33.4,49.2666667,202.6796667,65.83333329999999,12.6916667,6.765000000000001,72.65,5716.6666669999995
classic cantopop,57.8341514,53.901291500000006,239.150337,39.4943665,19.136139099999998,3.3149259,37.807375799999996,4104.512281
classic colombian pop,60.9919066,66.27849839999999,191.90922849999998,44.0442039,16.9489789,6.0412040000000005,76.0587512,2218.6459
classic country pop,53.75133760000001,59.4258183,177.349585,44.5608865,17.1153016,4.1294085,65.4839092,3481.8488799999996
classic czech pop,89.60000000000001,32.1333333,145.627,31.766666700000002,10.02,3.5833333,42.5,466.6666667
classic danish pop,54.913277199999996,61.4677193,228.32205960000002,44.2779649,15.1781053,10.9733684,61.3477193,2435.438596
classic finnish pop,67.30000000000001,77.5,151.48,48.699999999999996,20.3,12.2,92.10000000000001,3800.0
classic french pop,14.499999999999998,71.7,249.28,80.4,30.0,6.890000000000001,85.1,4900.0
classic greek pop,76.69130750000001,54.5529454,192.2405352,39.4643678,15.5422055,4.2779598000000005,61.120905199999996,2664.439655
classic icelandic pop,53.2,56.00000000000001,407.987,30.5,66.5,2.78,3.93,4700.0
classic indo pop,4.09,37.0,295.947,51.4,28.299999999999997,3.02,17.0,5600.0
classic israeli pop,52.0054535,52.1479365,237.87733780000002,49.2512132,13.3945159,5.6214603,49.7594501,3920.9750569999997
classic italian folk pop,91.78693439999999,41.241852099999996,186.32322349999998,20.5180065,24.8048099,4.194059800000001,44.559159799999996,627.1524635
classic italian pop,61.189543199999996,50.2050651,227.6171697,41.0835104,19.2309771,5.5639023000000005,51.4276803,3496.3343780000005
classic korean pop,42.5552381,49.0047619,240.91,27.6714286,10.3033333,2.9742857000000003,22.7,3195.2380949999997
classic latvian pop,72.5666667,27.666666699999997,211.369,39.866666699999996,9.3133333,3.15,24.4933333,66.6666667
classic mandopop,55.732324600000005,54.1027955,270.14309000000003,42.844965200000004,22.1477962,3.5289181000000003,36.6638873,4416.460658999999
classic norwegian pop,37.015,50.449999999999996,218.527,63.05,11.67,5.680000000000001,72.2,3850.0
classic pakistani pop,78.1877381,53.4436812,274.1763205,40.247990900000005,21.1929846,7.7432391,64.48534649999999,2044.8626010000003
classic persian pop,72.16739129999999,48.126521700000005,303.5540022,43.9208696,20.1106522,7.636087,54.372826100000005,3256.5217390000003
classic peruvian pop,66.2410714,62.5450893,218.7038616,60.1017857,21.5055357,7.479553599999999,79.61875,2158.928571
classic polish pop,59.1666667,60.66666670000001,188.5411667,45.9666667,10.73,4.1000000000000005,68.7,4183.3333330000005
classic punjabi pop,58.576666700000004,66.5,217.4523333,52.866666699999996,27.3333333,6.950000000000001,73.5,3400.0
classic russian pop,78.4176136,57.806628800000006,173.5162027,28.5377273,17.2107955,10.0464015,69.9138258,3558.333333
classic swedish pop,43.2147451,59.9329412,198.99646669999998,59.0726863,16.0824706,5.3992941000000005,64.9862745,4079.803922
classic thai pop,36.9,56.599999999999994,234.853,74.6,9.59,3.32,63.0,100.0
classic tunisian pop,17.599999999999998,80.7,281.443,63.9,5.8999999999999995,4.16,69.19999999999999,4900.0
classic turkish pop,72.8166667,44.8722222,207.87588889999998,49.9166667,35.8388889,5.0494444,57.1722222,3616.666667
classic uk pop,37.5463848,55.7261496,224.9981279,55.394110100000006,18.7787262,5.5652345,62.4434854,4041.996483
classic venezuelan pop,58.2446843,60.19012609999999,215.3952667,59.1740278,13.489922300000002,5.574763600000001,78.9305313,3590.062692
collage pop,24.947666700000003,64.8625,196.458125,72.2541667,28.558125,12.02125,52.081250000000004,4802.0833330000005
colombian pop,32.089601200000004,72.0816345,223.30730480000003,66.90302820000001,15.4497196,7.5274942,68.6692889,6373.855681
country pop,20.1167692,58.110050199999996,210.4176313,68.8556523,16.9313855,4.519775699999999,55.5232685,5742.765665999999
croatian pop,34.8858333,56.158333299999995,231.9842083,70.9875,11.825,4.7366667,54.483333300000005,4087.5
cumbia pop,6.734999999999999,76.05,215.5198333,69.1166667,31.15,9.66,82.38333329999999,6333.3333330000005
cypriot pop,94.7111111,38.966666700000005,196.99566670000002,58.888888900000005,21.6533333,3.8,75.1111111,0.0
dance pop,18.368680700000002,65.1811584,229.1908339,68.4380682,18.1670605,8.4431742,54.5698019,5566.833968
danish electropop,94.6,54.2,247.818,16.0,26.3,3.65,19.8,5300.0
danish pop,4.1964444,74.42063490000001,223.10557139999997,72.72698410000001,13.202857100000001,9.6771429,51.8142857,5965.079365
danish pop rock,53.765476199999995,46.9166667,354.7187857,45.9309524,52.121190500000004,4.2221429,47.180952399999995,4457.142857
deep acoustic pop,0.357,41.9,214.333,73.4,24.3,2.94,72.89999999999999,3600.0
deep dance pop,10.545,71.05,257.24,83.3,28.199999999999996,15.15,44.4,7350.0
deep indian pop,61.7719075,62.0986972,260.0911472,43.1981999,17.8070419,9.4356736,63.759378899999994,2514.12719
deep pop edm,29.731428599999997,61.550000000000004,213.09485709999998,49.0071429,9.9192857,4.9607143,29.3657143,6250.0
desi pop,45.3290193,63.3071066,286.68203950000003,57.927891499999994,15.6211994,8.7851035,65.368175,4171.135988
dominican pop,34.275687399999995,73.13650539999999,260.0056177,64.5218907,15.614114200000001,6.838609099999999,80.641986,4688.42212
dream pop,31.9238201,42.4434378,282.1678662,56.527107,16.6406462,4.7371713,36.408351700000004,4482.8103040000005
dutch pop,32.2456227,65.4686532,199.66368549999999,60.584747500000006,14.894094299999999,9.098447799999999,50.3364646,5766.767677
dutch rap pop,8.9786667,90.74,151.3318667,70.9266667,8.0226667,6.1933333,72.8266667,6726.666667
early synthpop,6.792206800000001,64.2430556,260.4058426,62.1527778,18.8724228,4.7847377,63.123734600000006,3671.450617
