genres,acousticness,danceability,duration_ms,energy,liveness,speechiness,valence,popularity
acoustic pop,4902.35026,5351.08317,0.2353797836,4764.39922,1577.5049900000001,417.70664999999997,3794.1535299999996,531155.0475
afghan pop,4106.28571,6517.14286,0.3265039286,6515.71429,874.60714,844.14286,7841.07143,393214.2857
afropop,4366.59746,6258.0321300000005,0.3099689753,5345.2464,1598.84035,770.84721,6484.71126,413803.41479999997
albanian pop,28.7,6830.000000000001,0.187106,6650.0,839.0,499.0,6670.0,420000.0
alternative pop,1100.67832,4550.66258,0.221230531,7592.710150000001,1725.94815,509.04131,5475.57736,376370.9806
alternative pop rock,1704.67446,6192.29437,0.2001459481,7202.441559999999,1875.8303,687.05931,6437.60173,540809.5238
ambient pop,7447.0833299999995,2764.1666699999996,0.2287964667,2177.3,1265.23333,360.84999999999997,1686.68333,445833.33330000006
antiviral pop,1776.6136299999998,6606.96595,0.20600262889999998,7229.74734,2184.7259,1077.3111099999999,6122.801780000001,543221.3620000001
arab pop,4787.7108800000005,5789.1037400000005,0.28691401569999997,5411.3818,1702.25425,538.87577,6027.47364,351887.7551
argentine telepop,1939.9999999999998,6220.0,0.201773,6969.999999999999,3050.0,288.0,8430.0,590000.0
art pop,3383.0742400000004,5390.91244,0.2535570744,5387.30452,1698.7846100000002,541.8891,4183.113670000001,500939.632
australian alternative pop,6837.29043,4844.1739099999995,0.2504631652,3959.73913,1433.6695699999998,443.87825999999995,1335.02609,630434.7826
australian electropop,1755.74947,5741.81519,0.26349608020000004,6615.493119999999,1779.7723300000002,483.45304000000004,4125.06821,505878.8515
australian pop,2320.96394,5906.32402,0.241329884,6490.48972,1661.59345,593.37497,4888.09386,575264.6006
austrian pop,2983.33333,4861.6666700000005,0.23705316669999998,5018.33333,1743.66667,616.08333,1962.5,497500.0
austropop,2187.6,7496.000000000001,0.2623678,7114.0,1202.8,661.9999999999999,8438.0,554000.0
bahamian pop,640.3333299999999,8157.777779999999,0.1998445556,8758.88889,1684.0,853.7777800000001,8433.333330000001,502222.2222
barbadian pop,1704.8723,7242.426520000001,0.2387462925,7161.50896,1228.2638,747.11685,7399.88459,549093.1900000001
baroque pop,3601.76606,5098.73387,0.2275691448,5732.25039,1859.4192,434.75125,5176.14991,431015.32050000003
bedroom pop,4223.825580000001,6158.65376,0.1978140949,4839.11121,1659.84828,556.89892,4897.5724,650201.3746999999
belarusian pop,285.0,3300.0,0.292027,9130.0,3459.9999999999995,450.0,2940.0,570000.0
belgian pop,689.21333,6744.6666700000005,0.21126535559999998,8132.6666700000005,1590.84444,1057.08889,5192.0,546000.0
beninese pop,576.0,6630.0,0.305733,8490.0,3579.9999999999995,358.0,9660.0,410000.0
bitpop,732.63059,4525.58824,0.2938876176,8460.88235,1750.11765,601.76471,3331.7647099999995,507352.9412
bow pop,5384.474580000001,4439.91428,0.24377291299999998,4315.74539,1811.53424,558.12761,3768.5684,434664.7198000001
boy pop,772.0000000000001,5880.0,0.2061935,8120.0,1739.9999999999998,562.0,5805.0,515000.0
brill building pop,5479.29154,5284.41099,0.1694809666,5000.191989999999,2133.27362,478.20156000000003,6539.0012400000005,329851.256
britpop,1168.3142500000001,4796.05026,0.23968402090000002,7065.776320000001,2052.24369,492.45408,5279.2688,481057.5796
bubblegum pop,3996.4049699999996,5530.26764,0.17468856640000002,5645.81035,1928.1920599999999,505.78414,6903.441049999999,354618.5552
c-pop,5956.49059,5391.53612,0.24952269000000002,4034.9868100000003,1955.43709,349.16118,3852.5899699999995,430565.6876
cameroonian pop,719.0,5420.0,0.223154,8120.0,587.0,1850.0,8990.0,0.0
canadian electropop,1940.43574,6357.24471,0.2126401415,6314.37169,1458.7877,586.42751,3896.03836,567037.037
canadian pop,2973.6432400000003,5768.2963899999995,0.2331740513,6088.36196,1740.02716,705.5159399999999,4711.0522,531723.2409
canadian pop punk,1334.72549,4768.78136,0.2036219516,7908.838710000001,1579.0100400000001,653.64803,5280.87455,523311.828
candy pop,1220.55345,5542.25551,0.21527092809999998,7557.93723,2080.7297399999998,619.09969,5132.85647,495988.34420000005
canto popular uruguayo,7525.0,5990.0,0.266867,2785.0,1095.0,347.50000000000006,3875.0,430000.0
cantopop,6088.66543,5648.70118,0.23617855170000002,4298.58288,1619.36584,327.71641,3740.6933700000004,464051.3945
chamber pop,4834.92422,5082.65748,0.2503081172,4791.486419999999,1481.57095,407.83283,4081.2799,509952.28419999994
channel pop,6374.36191,5540.35124,0.2148450771,4257.22796,1509.7135,435.59675999999996,3846.26722,485037.8788
chicago pop punk,2863.875,3990.0000000000005,0.2436585,6482.5,1362.0,386.0,3495.0000000000005,545000.0
chill pop,6248.18125,7429.375,0.1956203125,4385.625,1340.25,1145.1875,8222.5,291250.0
chinese electropop,25.7,6600.0,0.217088,7870.0,3230.0000000000005,320.0,1989.9999999999998,785000.0
chinese idol pop,1420.0,7509.999999999999,0.23215,7189.999999999999,1480.0,373.0,4370.0,730000.0
christian pop,1754.8616299999999,5410.5370299999995,0.2506208959,6688.249429999999,1775.48332,471.13934000000006,4198.99156,531946.7796
classic arab pop,7575.0605000000005,4567.9581,0.4182904274,3568.18334,2851.97001,505.44552999999996,5051.90879,195330.03
classic belgian pop,3340.0,4926.6666700000005,0.2026796667,6583.3333299999995,1269.16667,676.5,7265.000000000001,571666.6667000001
classic cantopop,5783.41514,5390.129150000001,0.23915033700000002,3949.4366499999996,1913.61391,331.49259,3780.7375800000004,410451.2281
classic colombian pop,6099.19066,6627.849839999999,0.1919092285,4404.42039,1694.89789,604.1204,7605.875120000001,221864.59
classic country pop,5375.133760000001,5942.58183,0.177349585,4456.088650000001,1711.5301599999998,412.94085,6548.39092,348184.888
classic czech pop,8960.0,3213.3333299999995,0.145627,3176.6666699999996,1002.0,358.33333,4250.0,46666.66667
classic danish pop,5491.32772,6146.77193,0.2283220596,4427.79649,1517.81053,1097.33684,6134.77193,243543.8596
classic finnish pop,6730.000000000001,7750.0,0.15148,4870.0,2030.0,1220.0,9210.0,380000.0
classic french pop,1449.9999999999998,7170.0,0.24928,8040.000000000001,3000.0,689.0,8510.0,490000.0
classic greek pop,7669.130750000001,5455.29454,0.1922405352,3946.43678,1554.22055,427.79598000000004,6112.090520000001,266443.9655
classic icelandic pop,5320.0,5600.000000000001,0.40798700000000004,3050.0,6650.0,278.0,393.0,470000.0
classic indo pop,409.0,3700.0,0.295947,5140.0,2830.0,302.0,1700.0,560000.0
classic israeli pop,5200.54535,5214.79365,0.2378773378,4925.12132,1339.45159,562.14603,4975.94501,392097.50570000004
classic italian folk pop,9178.693440000001,4124.185210000001,0.18632322350000002,2051.8006499999997,2480.48099,419.40598000000006,4455.915980000001,62715.246349999994
classic italian pop,6118.954320000001,5020.50651,0.2276171697,4108.3510400000005,1923.09771,556.3902300000001,5142.76803,349633.4378000001
classic korean pop,4255.52381,4900.476189999999,0.24090999999999999,2767.14286,1030.33333,297.42857000000004,2270.0,319523.80950000003
